,installment,annual_inc,dti,inq_last_6mths,mths_since_last_record,total_pymnt,total_pymnt_inv,total_rec_late_fee,tot_cur_bal,open_acc_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_actv_rev_tl,num_rev_tl_bal_gt_0,num_tl_op_past_12m,tot_hi_cred_lim,total_bc_limit
installment,1.0,0.47275855978405357,0.04160618129620021,0.0,-0.016623230284797973,0.8567661284509493,0.8567319236905303,0.03742899782056558,0.2914764859871949,0.0,0.014331890365938937,0.03712539799413784,-0.007398904710542398,-0.09622449359538301,-0.019306873108874602,-0.0055855099961623755,0.39444030318790285,0.019713320957045193,0.3887762294454936,0.024147512461556185,0.02986631672147706,0.029584629028072473,0.23624465512167583,0.19170764160042641,0.17019841962628876,0.02205404053428489,0.005891464752800518,0.19760117090950907,0.006788506491821927,-0.013860194262649448,0.18043034725572205,0.17771264076316795,0.004713089539732905,0.31652094418924237,0.3758339126306214
annual_inc,0.47275855978405357,1.0,-0.20050686459293207,0.031400126721449505,-0.07378322818501563,0.45831526835395053,0.4583754370635301,0.01163142338585296,0.5322847969779192,0.06553293555361554,0.13704314376752078,0.19152275938298688,-0.13871651470124868,-0.08477432592445981,-0.008799095070578118,-0.01942419052145343,0.37343566056276883,0.03322626551050995,0.41792352322407944,0.0962867831246294,0.11392579789375372,0.11225348065579015,0.45992060744475677,0.21769847923206723,0.25081957269116584,0.014931570503464405,-0.06136402089011612,0.371488463956886,0.007157764150393059,-0.06534111875140401,0.15496495873476157,0.1539743034048383,0.09334464635798971,0.563862444280841,0.390753782181328
dti,0.04160618129620021,-0.20050686459293207,1.0,0.014430970356234276,0.07357231783125251,0.0075588862146975,0.007475948356042114,0.00921464170828741,0.13848346267148856,0.06170370587074563,0.21877761907800797,0.3114128567133438,-0.24071491902764316,-0.011996574843188081,0.015017756523790924,0.04379231741261688,0.1423978717004642,0.19462958662541802,0.15249474506619182,0.09224844704428221,0.04813305371387694,0.1706688943586197,0.03342569877395488,-0.060977676902112726,0.055721100748606346,-0.011782503068373841,-0.06925537470703423,-0.01895919059990626,0.005014923947975885,0.006259260304473608,0.2685748219878607,0.2678065737239693,0.10960732918332193,0.13463289944886467,0.0785389816983631
inq_last_6mths,0.0,0.031400126721449505,0.014430970356234276,1.0,-0.05301830865999867,-0.04439285840232212,-0.0444390944927948,0.02529026392933903,0.021855126606040318,0.40547328926895676,0.12901096346202376,0.10774913623062071,-0.13849080674110956,0.08152120592734062,0.3231643613013839,0.2800305271573935,-0.08296175703887734,-0.038868239547839606,0.027794716951600264,0.2031025180450339,0.5388064124250543,0.28276173053251435,-0.03804801908563333,0.03902020989760532,-0.009381460964244852,-0.34331450786315487,-0.35173423567936396,0.019227304396625833,-0.2396308009882777,-0.6725463199548066,0.1334192950974564,0.11996019287007736,0.33229048196535743,0.027509820653316527,-0.00899695658945813
mths_since_last_record,-0.016623230284797973,-0.07378322818501563,0.07357231783125251,-0.05301830865999867,1.0,-0.025963077018422643,-0.02589293949406185,-0.03341834335804589,0.0,-0.04614577867524749,0.0,0.031156643157109476,0.0,-0.04090829109217157,-0.0716674320336048,-0.06945565278954818,0.02874986443922364,-0.009308950141609637,0.030599918072679737,-0.038384260288134735,-0.06147437286619819,-0.037773914538570715,0.0,-0.040064425131141015,-0.11069295730698449,0.04437711872439337,0.03470705770100574,-0.07869470783941038,0.05412616286844443,0.04362403676544328,0.03058236668747069,0.03230513893766841,-0.058335332501469515,0.0,0.0
total_pymnt,0.8567661284509493,0.45831526835395053,0.0075588862146975,-0.04439285840232212,-0.025963077018422643,1.0,0.999990796930384,-0.004230787241812639,0.3041068410831994,-0.04522015987421701,-0.02847869802635661,0.0,0.033805510454570024,-0.11810929925715262,-0.05971975858181632,-0.05761354112241931,0.39328057223011376,-0.0050947723052521465,0.38753721911389977,-0.008370751864438118,-0.016984587919400232,-0.03135508279223388,0.2578432377266581,0.20534628252760664,0.19102921224274289,0.05649161730867329,0.04526590767069801,0.22351423540520843,0.04541326227107939,0.022292903477172894,0.15131273231944511,0.1493923057425555,-0.050082272489578056,0.3323821096171985,0.3792139259183114
total_pymnt_inv,0.8567319236905303,0.4583754370635301,0.007475948356042114,-0.0444390944927948,-0.02589293949406185,0.999990796930384,1.0,-0.004234862556517948,0.30415016994230537,-0.045234945384974204,-0.028465474481100643,0.0,0.03379185899085377,-0.11809901405219639,-0.059738916694806965,-0.05763789188215551,0.3932949899217762,-0.005121745808345077,0.3875713385845685,-0.008368711070375609,-0.01700338873582899,-0.0313652611670677,0.25789544866647396,0.20539055691978628,0.1910364597187614,0.05650786143961987,0.04527111677414286,0.22354649813030816,0.04542395501125748,0.022313818958935198,0.15127844551705966,0.14935981556003855,-0.050087642519771255,0.33242965208545366,0.3792494682206367
total_rec_late_fee,0.03742899782056558,0.01163142338585296,0.00921464170828741,0.02529026392933903,-0.03341834335804589,-0.004230787241812639,-0.004234862556517948,1.0,0.0,0.020826684332538117,0.029191319800503747,0.027646889279974635,-0.02878973574830134,0.026854891998722295,0.009136331526142996,0.010277588225083838,-0.02925356280082831,0.04915260518546799,-0.05010168263040327,0.027058018766536882,0.03077151024037443,0.023637775406492256,0.0,-0.06048005426726073,-0.022275984375195207,-0.009036304009081625,-0.020839797523287514,-0.021283239275760764,-0.0038498697176855444,-0.026149394964093457,0.0,0.0,0.02398743705705463,-0.00890479205892186,-0.055682323950705694
tot_cur_bal,0.2914764859871949,0.5322847969779192,0.13848346267148856,0.021855126606040318,0.0,0.3041068410831994,0.30415016994230537,0.0,1.0,0.09217500314804711,0.16747738010028848,0.230337307218603,-0.16845607141913413,0.08820541915013591,-0.02226643411303223,-0.03751559421082072,0.34046688626194177,0.17819443502575824,0.3737586519172382,0.15626989712856082,0.1549463856955318,0.15703206331286398,0.9236351403529327,0.1380530974846156,0.2160206017687084,0.019984202491082317,-0.08906290568305968,0.6479228513974583,0.029301051397346106,-0.055745440221019724,0.14319465798585224,0.14197826641678835,0.13311602547581014,0.9738691253899749,0.30542990734913944
open_acc_6m,0.0,0.06553293555361554,0.06170370587074563,0.40547328926895676,-0.04614577867524749,-0.04522015987421701,-0.045234945384974204,0.020826684332538117,0.09217500314804711,1.0,0.3645130895201727,0.28371559281793207,-0.4148668289536694,0.20176446796729292,0.5871202516855095,0.4522473684879345,-0.10751310416253403,-0.03651089692413764,0.08005571500859142,0.15394820405419354,0.35178672608029027,0.5293730834013516,-0.007510784325393912,0.11937280713673433,-0.008613499985737728,-0.6836443082882735,-0.8443383112695337,0.05593592724828549,-0.49669172891823055,-0.30849537255780113,0.18780321151946827,0.18225493727412295,0.7003818128969495,0.09816744412496457,0.027052167668385172
open_il_12m,0.014331890365938937,0.13704314376752078,0.21877761907800797,0.12901096346202376,0.0,-0.02847869802635661,-0.028465474481100643,0.029191319800503747,0.16747738010028848,0.3645130895201727,1.0,0.7187315452112026,-0.8574141237843333,0.40316808708498075,0.0643940426640625,0.07490120523570686,-0.08747759945058371,0.21179414584321146,-0.030191055826013034,0.2505528887192422,0.33676429089528087,0.4301164203114721,0.11364699198337441,0.0,-0.01318754534203675,-0.05853362444633458,-0.3638553171497844,0.06551452593524909,-0.05027151501111901,-0.148382909394511,-0.012951981520937676,-0.01696517162918219,0.5638046163831589,0.13949472918836112,-0.05952965447541499
open_il_24m,0.03712539799413784,0.19152275938298688,0.3114128567133438,0.10774913623062071,0.031156643157109476,0.0,0.0,0.027646889279974635,0.230337307218603,0.28371559281793207,0.7187315452112026,1.0,-0.7654825555072142,0.35529810039342097,0.06317770649730835,0.09489325768304789,-0.07356575230652279,0.22992028198272324,-0.00634605008091084,0.34515847620246914,0.27658481144717223,0.576331674334154,0.15165178895317988,0.006302001418773287,-0.02463390134773735,-0.0597566596594786,-0.29140280499402577,0.09157256939809022,-0.0539526995785665,-0.10303671647407536,0.0,0.003714658544190119,0.4345306503965652,0.20483981129370207,-0.046544807022471366
mths_since_rcnt_il,-0.007398904710542398,-0.13871651470124868,-0.24071491902764316,-0.13849080674110956,0.0,0.033805510454570024,0.03379185899085377,-0.02878973574830134,-0.16845607141913413,-0.4148668289536694,-0.8574141237843333,-0.7654825555072142,1.0,-0.43504434674608433,-0.06492364343940732,-0.08141809536509804,0.089839935371153,-0.21278637930426347,0.026440767308848614,-0.2641005838677143,-0.3099523683924223,-0.437197011886418,-0.11595171342821756,-0.009728960418961981,0.025669957684389462,0.06371283940004532,0.42754470313250725,-0.058983509484033955,0.05689677801270984,0.16182768267250394,0.01222169298055675,0.01695048646135598,-0.4846179678338859,-0.14067301705724575,0.054426032519184674
il_util,-0.09622449359538301,-0.08477432592445981,-0.011996574843188081,0.08152120592734062,-0.04090829109217157,-0.11810929925715262,-0.11809901405219639,0.026854891998722295,0.08820541915013591,0.20176446796729292,0.40316808708498075,0.35529810039342097,-0.43504434674608433,1.0,0.06671670895597351,0.08288613153468409,-0.13530016919838928,0.5688856927839256,-0.12741010495511218,0.15883699073976862,0.18576100640444124,0.23977371667249997,0.05241988007938506,-0.05083839376703764,-0.10936623778586183,-0.05764823044054894,-0.198921405010293,-0.06939043389536989,-0.055370422413771096,-0.08162606178949508,-0.05343479502947219,-0.05413998231189084,0.26128922098280805,-0.005979028762691796,-0.1280826578131493
open_rv_12m,-0.019306873108874602,-0.008799095070578118,0.015017756523790924,0.3231643613013839,-0.0716674320336048,-0.05971975858181632,-0.059738916694806965,0.009136331526142996,-0.02226643411303223,0.5871202516855095,0.0643940426640625,0.06317770649730835,-0.06492364343940732,0.06671670895597351,1.0,0.7515642761253436,-0.1043002784170045,-0.16365638653041054,0.14254302107512784,0.08713227475076477,0.3450120430171591,0.6065728429242458,-0.15515102564827057,0.16356087862437585,-0.03132839741351967,-0.8082611400428731,-0.5851343859578417,-0.019622678160235198,-0.6636749441586471,-0.2204060323342146,0.33715621511250765,0.3306456673660023,0.7970676833681075,0.004009286920929493,0.07711206123979085
open_rv_24m,-0.0055855099961623755,-0.01942419052145343,0.04379231741261688,0.2800305271573935,-0.06945565278954818,-0.05761354112241931,-0.05763789188215551,0.010277588225083838,-0.03751559421082072,0.4522473684879345,0.07490120523570686,0.09489325768304789,-0.08141809536509804,0.08288613153468409,0.7515642761253436,1.0,-0.12040591755157067,-0.1776047464328427,0.17518152835945955,0.12423384298161882,0.3180815141427385,0.8100969017541427,-0.20772491972838902,0.1759799359524908,-0.07006262161323584,-0.6532378973861193,-0.4531945217044768,-0.03867132206815722,-0.6031437262008562,-0.16421822108897421,0.4224758598018774,0.41699473946763616,0.6209356057108174,-0.00857414773573882,0.08986597231303496
max_bal_bc,0.39444030318790285,0.37343566056276883,0.1423978717004642,-0.08296175703887734,0.02874986443922364,0.39328057223011376,0.3932949899217762,-0.02925356280082831,0.34046688626194177,-0.10751310416253403,-0.08747759945058371,-0.07356575230652279,0.089839935371153,-0.13530016919838928,-0.1043002784170045,-0.12040591755157067,1.0,0.1230506077558198,0.5841865349159944,-0.09409293108541537,-0.11093746973384232,-0.12414241214431525,0.30149630247452314,0.22354825595762753,0.26866260071119114,0.10284279461801724,0.1084451941805212,0.22174646264172235,0.06875119949278083,0.07301796833452044,0.19952380153582902,0.19561595863950365,-0.12361250200654357,0.3590423429926904,0.6772536187682925
all_util,0.019713320957045193,0.03322626551050995,0.19462958662541802,-0.038868239547839606,-0.009308950141609637,-0.0050947723052521465,-0.005121745808345077,0.04915260518546799,0.17819443502575824,-0.03651089692413764,0.21179414584321146,0.22992028198272324,-0.21278637930426347,0.5688856927839256,-0.16365638653041054,-0.1776047464328427,0.1230506077558198,1.0,-0.28610720327422373,0.08437612061148345,0.024148123076764432,-0.02572710085805356,0.2136001426644873,-0.5074792359954388,-0.07524140075896804,0.14822149741803184,0.03589698586784195,-0.023114533235459544,0.1498334273273872,0.02585655624748133,-0.04101313353312825,-0.03227403102004082,-0.02238973766233353,0.03683978351195094,-0.2595288909040791
total_rev_hi_lim,0.3887762294454936,0.41792352322407944,0.15249474506619182,0.027794716951600264,0.030599918072679737,0.38753721911389977,0.3875713385845685,-0.05010168263040327,0.3737586519172382,0.08005571500859142,-0.030191055826013034,-0.00634605008091084,0.026440767308848614,-0.12741010495511218,0.14254302107512784,0.17518152835945955,0.5841865349159944,-0.28610720327422373,1.0,-0.03826793236732275,0.01237118612429201,0.1450521824019575,0.18902122319814166,0.6653362077397806,0.344388883728034,-0.11492034789069973,-0.0742733636567805,0.276873362683705,-0.13040260198989245,-0.01587236875850484,0.4919163517504458,0.49086943196478633,0.10538815048675189,0.48224048212341813,0.8703679640776749
inq_fi,0.024147512461556185,0.0962867831246294,0.09224844704428221,0.2031025180450339,-0.038384260288134735,-0.008370751864438118,-0.008368711070375609,0.027058018766536882,0.15626989712856082,0.15394820405419354,0.2505528887192422,0.34515847620246914,-0.2641005838677143,0.15883699073976862,0.08713227475076477,0.12423384298161882,-0.09409293108541537,0.08437612061148345,-0.03826793236732275,1.0,0.4863089603894553,0.29620959594731155,0.12377733434973993,0.004180647288951854,-0.048235862719240824,-0.07601304634316826,-0.15487165537734982,0.11115189228595139,-0.06523919060052982,-0.2518837203101109,0.007309193136556872,0.015844419273721152,0.2256480324157664,0.13911623298197667,-0.05816283582706838
inq_last_12m,0.02986631672147706,0.11392579789375372,0.04813305371387694,0.5388064124250543,-0.06147437286619819,-0.016984587919400232,-0.01700338873582899,0.03077151024037443,0.1549463856955318,0.35178672608029027,0.33676429089528087,0.27658481144717223,-0.3099523683924223,0.18576100640444124,0.3450120430171591,0.3180815141427385,-0.11093746973384232,0.024148123076764432,0.01237118612429201,0.4863089603894553,1.0,0.42278095823292067,0.08801264836273448,0.043631465608937374,-0.0366725489496651,-0.2766886881304089,-0.352880713703244,0.11930788866177647,-0.21785951565043524,-0.6551004526725783,0.11018198089538866,0.10263951756563679,0.49776138307642526,0.14443275981743958,-0.033240957706506195
acc_open_past_24mths,0.029584629028072473,0.11225348065579015,0.1706688943586197,0.28276173053251435,-0.037773914538570715,-0.03135508279223388,-0.0313652611670677,0.023637775406492256,0.15703206331286398,0.5293730834013516,0.4301164203114721,0.576331674334154,-0.437197011886418,0.23977371667249997,0.6065728429242458,0.8100969017541427,-0.12414241214431525,-0.02572710085805356,0.1450521824019575,0.29620959594731155,0.42278095823292067,1.0,-0.020051719644979638,0.14544026593153667,-0.06181929735865039,-0.5151736678611992,-0.5228142450507193,0.08232734869871235,-0.4757119720827638,-0.19845266883521012,0.3285665912933485,0.3243108725906675,0.7567674292642634,0.16484840197510506,0.054653288814769274
avg_cur_bal,0.23624465512167583,0.45992060744475677,0.03342569877395488,-0.03804801908563333,0.0,0.2578432377266581,0.25789544866647396,0.0,0.9236351403529327,-0.007510784325393912,0.11364699198337441,0.15165178895317988,-0.11595171342821756,0.05241988007938506,-0.15515102564827057,-0.20772491972838902,0.30149630247452314,0.2136001426644873,0.18902122319814166,0.12377733434973993,0.08801264836273448,-0.020051719644979638,1.0,0.022579288357256484,0.1774401053041664,0.13368829742657737,0.00834182140007264,0.6310328771307644,0.1314019585327099,-0.017870826227738612,-0.10765694445936881,-0.10957386594081905,0.0,0.8759428791736765,0.16706884791006782
bc_open_to_buy,0.19170764160042641,0.21769847923206723,-0.060977676902112726,0.03902020989760532,-0.040064425131141015,0.20534628252760664,0.20539055691978628,-0.06048005426726073,0.1380530974846156,0.11937280713673433,0.0,0.006302001418773287,-0.009728960418961981,-0.05083839376703764,0.16356087862437585,0.1759799359524908,0.22354825595762753,-0.5074792359954388,0.6653362077397806,0.004180647288951854,0.043631465608937374,0.14544026593153667,0.022579288357256484,1.0,0.1678953476798054,-0.14825481811847385,-0.11693166520661107,0.1244080108129867,-0.25515693911072795,-0.04240918987711037,0.15393152110712763,0.15730954240820474,0.13568443243605402,0.2541663884512327,0.7684026917544129
mo_sin_old_rev_tl_op,0.17019841962628876,0.25081957269116584,0.055721100748606346,-0.009381460964244852,-0.11069295730698449,0.19102921224274289,0.1910364597187614,-0.022275984375195207,0.2160206017687084,-0.008613499985737728,-0.01318754534203675,-0.02463390134773735,0.025669957684389462,-0.10936623778586183,-0.03132839741351967,-0.07006262161323584,0.26866260071119114,-0.07524140075896804,0.344388883728034,-0.048235862719240824,-0.0366725489496651,-0.06181929735865039,0.1774401053041664,0.1678953476798054,1.0,0.03237061736473745,0.011267757283497205,0.34855472664749326,0.06551373403727674,0.0,0.17420857457535344,0.17213959639704582,-0.026763911135422914,0.25930009457229836,0.2922424956020221
mo_sin_rcnt_rev_tl_op,0.02205404053428489,0.014931570503464405,-0.011782503068373841,-0.34331450786315487,0.04437711872439337,0.05649161730867329,0.05650786143961987,-0.009036304009081625,0.019984202491082317,-0.6836443082882735,-0.05853362444633458,-0.0597566596594786,0.06371283940004532,-0.05764823044054894,-0.8082611400428731,-0.6532378973861193,0.10284279461801724,0.14822149741803184,-0.11492034789069973,-0.07601304634316826,-0.2766886881304089,-0.5151736678611992,0.13368829742657737,-0.14825481811847385,0.03237061736473745,1.0,0.7691519056556326,0.014853902173626391,0.7104671579711161,0.2506327666952388,-0.28279632444862607,-0.27790727614044175,-0.6322899554686188,0.0,-0.05512729315818884
mo_sin_rcnt_tl,0.005891464752800518,-0.06136402089011612,-0.06925537470703423,-0.35173423567936396,0.03470705770100574,0.04526590767069801,0.04527111677414286,-0.020839797523287514,-0.08906290568305968,-0.8443383112695337,-0.3638553171497844,-0.29140280499402577,0.42754470313250725,-0.198921405010293,-0.5851343859578417,-0.4531945217044768,0.1084451941805212,0.03589698586784195,-0.0742733636567805,-0.15487165537734982,-0.352880713703244,-0.5228142450507193,0.00834182140007264,-0.11693166520661107,0.011267757283497205,0.7691519056556326,1.0,-0.05522131215759545,0.5196727819607817,0.3289216750350178,-0.18112678554895453,-0.1762299406247155,-0.6866390302609412,-0.09473077500212558,-0.01955558862826553
mort_acc,0.19760117090950907,0.371488463956886,-0.01895919059990626,0.019227304396625833,-0.07869470783941038,0.22351423540520843,0.22354649813030816,-0.021283239275760764,0.6479228513974583,0.05593592724828549,0.06551452593524909,0.09157256939809022,-0.058983509484033955,-0.06939043389536989,-0.019622678160235198,-0.03867132206815722,0.22174646264172235,-0.023114533235459544,0.276873362683705,0.11115189228595139,0.11930788866177647,0.08232734869871235,0.6310328771307644,0.1244080108129867,0.34855472664749326,0.014853902173626391,-0.05522131215759545,1.0,0.04235770322284194,-0.055100287391468016,0.07616774507377488,0.07400580412979914,0.07498064065407045,0.6602341648133665,0.2132740664259518
